Miasto	Kod_pocztowy
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Strzelce Opolskie	60-596
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sucha Beskidzka	98-902
Sura¿	76-117
Sura¿	76-117
Suwa³ki	91-271
Suwa³ki	91-271
Szamotu³y	64-698
Szamotu³y	64-698
Szamotu³y	64-698
Szczecin	22-544
Szczecin	22-544
Szczecinek	48-418
Szczecinek	48-418
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczekociny	66-008
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Szczyrk	75-361
Œwiecko	47-842
Œwiecko	47-842
Œwiecko	47-842
Œwieradów-Zdrój	01-685
Œwieradów-Zdrój	01-685
Œwieradów-Zdrój	01-685
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwiêtoch³owice	38-932
Œwinoujskie	13-345
Œwinoujskie	13-345
Œwinoujskie	13-345
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnobrzeg	85-266
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnowskie Góry	24-243
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Tarnów	87-348
Terespol	22-593
Terespol	22-593
Terespol	22-593
Terespol	22-593
Terespol	22-593
Tomaszów Lubelski	95-084
Tomaszów Lubelski	95-084
Tomaszów Lubelski	95-084
Tomaszów Lubelski	95-084
Tomaszów Lubelski	95-084
Toruñ	90-535
Toruñ	90-535
Toruñ	90-535
Trzebinia	26-607
Trzebinia	26-607
Trzebinia	26-607
Trzebinia	26-607
Trzebinia	26-607
Trzebinia	26-607
Trzebinia	26-607
Trzebinia	26-607
Trzebinia	26-607
Trzebinia	26-607
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tworóg	62-560
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Tychy	76-939
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Ustroñ	51-637
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Wadowice	47-222
Walce	28-103
Walce	28-103
Walce	28-103
Walce	28-103
Wa³brzych	62-834
Wa³brzych	62-834
Wa³brzych	62-834
Wa³brzych	62-834
Warszawa	83-294
Warszawa	83-294
Warszawa	83-294
Warszawa	83-294
Warszawa	83-294
Warszawa	83-294
Warszawa	83-294
W¹growiec	87-659
Wejherowo	68-209
Wejherowo	68-209
Wejherowo	68-209
Wêgorzewo	67-547
Wêgorzewo	67-547
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Wis³a	99-436
Witonia	21-857
Witonia	21-857
Witonia	21-857
W³oc³awek	10-408
W³odowice	37-089
W³odowice	37-089
W³odowice	37-089
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wodzis³aw Sl¹ski	83-544
Wojkowice	84-273
Wojkowice	84-273
Wojkowice	84-273
Wojkowice	84-273
Wojkowice	84-273
Wojkowice	84-273
Wojkowice	84-273
Wojkowice	84-273
Wojkowice	84-273
Wojkowice	84-273
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wolbrom	46-174
Wroc³aw	62-182
Wroc³aw	62-182
Wroc³aw	62-182
Wroc³aw	62-182
Wroc³aw	62-182
Wroc³aw	62-182
Wroc³aw	62-182
Wroc³aw	62-182
Zabrodzie	71-608
Zabrodzie	71-608
Zabrodzie	71-608
Zabrze	91-525
Zabrze	91-525
Zabrze	91-525
Zabrze	91-525
Zabrze	91-525
Zabrze	91-525
Zabrze	91-525
Zabrze	91-525
Zabrze	91-525
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zakopane	00-995
Zambrów	53-324
Zambrów	53-324
Zambrów	53-324
Zamoœæ	99-773
Zamoœæ	99-773
Zamoœæ	99-773
Zamoœæ	99-773
Zamoœæ	99-773
Zamoœæ	99-773
Zamoœæ	99-773
Zamoœæ	99-773
Zamoœæ	99-773
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zawiercie	58-922
Zgorzelec	79-972
Zgorzelec	79-972
Zgorzelec	79-972
Zgorzelec	79-972
Zielona Góra	95-970
Zielona Góra	95-970
¯ory	29-724
¯ory	29-724
¯ory	29-724
¯ory	29-724
¯ory	29-724
¯ory	29-724
¯ory	29-724
¯ory	29-724
¯ory	29-724
¯yrardów	51-006
¯yrardów	51-006
¯ywiec	00-137
¯ywiec	00-137
¯ywiec	00-137
¯ywiec	00-137
¯ywiec	00-137
¯ywiec	00-137
¯ywiec	00-137
¯ywiec	00-137
